Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area,Low / Mid / High
MEADOWS @ PEIRCE,626 Upper Thomson Road  #04-39 ,1,139,Strata,1760000,-,12662,1176,28-Sep-18,Condominium,Freehold,2012,Resale,Private,26,78,787130,North East Region,Ang Mo Kio,Mid
JADESCAPE,4 Shunfu Road  #06-10 ,1,71,Strata,1262000,-,17775,1651,28-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575743,Central Region,Bishan,Mid
JADESCAPE,8 Shunfu Road  #09-33 ,1,117,Strata,2038000,-,17419,1618,28-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan,High
THE CLEARWATER,6 Bedok Reservoir View  #13-18 ,1,125,Strata,1350000,-,10800,1003,28-Sep-18,Condominium,99 Yrs From 18/07/1997,2001,Resale,HDB,16,47,479234,East Region,Bedok,Mid
RIVERBANK @ FERNVALE,13 Fernvale Close  #02-16 ,1,46,Strata,570000,-,12391,1151,28-Sep-18,Condominium,99 Yrs From 10/07/2013,2017,Resale,HDB,28,79,797476,North East Region,Sengkang,Low
Q BAY RESIDENCES,7 Tampines Street 86  #14-24 ,1,131,Strata,1560000,-,11908,1106,28-Sep-18,Condominium,99 Yrs From 21/08/2012,2016,Resale,Private,18,52,528586,East Region,Tampines,Mid
Q BAY RESIDENCES,3 Tampines Street 86  #15-12 ,1,74,Strata,923000,-,12473,1159,28-Sep-18,Condominium,99 Yrs From 21/08/2012,2016,Resale,HDB,18,52,528584,East Region,Tampines,Low
EUHABITAT,208 Jalan Eunos  #02-59 ,1,50,Strata,700000,-,14000,1301,28-Sep-18,Condominium,99 Yrs From 06/12/2010,2015,Resale,HDB,14,41,419548,East Region,Bedok,Low
MARTIN MODERN,8 Martin Place  #10-05 ,1,71,Strata,1976209,-,27834,2586,28-Sep-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,HDB,9,23,237992,Central Region,River Valley,High
8 @ MOUNT SOPHIA,10 Mount Sophia  #04-30 ,1,134,Strata,2150000,-,16045,1491,28-Sep-18,Condominium,103 Yrs From 28/11/2002,2007,Resale,HDB,9,22,228459,Central Region,Rochor,High
THE TAPESTRY,53 Tampines Street 86  #04-18 ,1,64,Strata,979290,-,15301,1422,28-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,HDB,18,52,528540,East Region,Tampines,Low
KOVAN MELODY,27 Kovan Road  #16-29 ,1,121,Strata,1500000,-,12397,1152,28-Sep-18,Condominium,99 Yrs From 20/01/2004,2006,Resale,HDB,19,54,545023,North East Region,Hougang,Mid
THE TAPESTRY,51 Tampines Street 86  #02-07 ,1,41,Strata,599000,-,14610,1357,28-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528539,East Region,Tampines,Low
KOVAN RESIDENCES,5 Kovan Road  #16-19 ,1,164,Strata,2130000,-,12988,1207,28-Sep-18,Condominium,99 Yrs From 31/12/2007,2011,Resale,HDB,19,54,544894,North East Region,Hougang,High
LIVIA,73 Pasir Ris Grove  #15-28 ,1,131,Strata,1250000,-,9542,886,28-Sep-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,HDB,18,51,518206,East Region,Pasir Ris,Mid
EIGHT COURTYARDS,14 Canberra Drive  #05-31 ,1,114,Strata,1195000,-,10482,974,27-Sep-18,Condominium,99 Yrs From 20/09/2010,2014,Resale,HDB,27,76,768096,North Region,Yishun,Mid
THE TESSARINA,30 Wilby Road  #01-46 ,1,116,Strata,1830000,-,15776,1466,27-Sep-18,Condominium,Freehold,2003,Resale,Private,10,27,276310,Central Region,Bukit Timah,High
SOLEIL @ SINARAN,6 Sinaran Drive  #23-14 ,1,89,Strata,1740000,-,19551,1816,27-Sep-18,Condominium,99 Yrs From 23/10/2006,2011,Resale,Private,11,30,307468,Central Region,Novena,Mid
ECO SANCTUARY,63 Chestnut Avenue  #21-14 ,1,65,Strata,890000,-,13692,1272,27-Sep-18,Condominium,99 Yrs From 25/04/2012,2016,Resale,HDB,23,67,679523,West Region,Bukit Panjang,Low
ARDMORE II,2 Ardmore Park  #17-03 ,1,188,Strata,5400000,-,28723,2668,27-Sep-18,Condominium,Freehold,2010,Resale,HDB,10,25,259947,Central Region,Newton,High
THE PARC CONDOMINIUM,7 West Coast Walk  #10-14 ,1,120,Strata,1780000,-,14833,1378,27-Sep-18,Condominium,Freehold,2010,Resale,Private,5,12,127159,West Region,Clementi,High
ASCENTIA SKY,1 Alexandra View  #08-01 ,1,137,Strata,1970000,-,14380,1336,27-Sep-18,Condominium,99 Yrs From 26/03/2008,2013,Resale,Private,3,15,158748,Central Region,Bukit Merah,High
THE MARQ ON PATERSON HILL,8A Paterson Hill  #04-02 ,1,287,Strata,9750000,-,33972,3156,27-Sep-18,Condominium,Freehold,2011,Resale,Private,9,23,238568,Central Region,River Valley,High
URBAN VISTA,12 Tanah Merah Kechil Link  #13-24 ,1,79,Strata,1200000,-,15190,1411,27-Sep-18,Condominium,99 Yrs From 05/11/2012,2016,Resale,HDB,16,46,465422,East Region,Bedok,Mid
CHANGI RISE CONDOMINIUM,6 Simei Rise  #08-14 ,1,117,Strata,1033000,-,8829,820,27-Sep-18,Condominium,99 Yrs From 29/11/2000,2004,Resale,Private,18,52,528802,East Region,Tampines,Mid
EIGHT RIVERSUITES,6 Whampoa East  #19-16 ,1,111,Strata,1580000,-,14234,1322,27-Sep-18,Condominium,99 Yrs From 11/07/2011,2016,Resale,Private,12,33,338519,Central Region,Kallang,Mid
ARCHIPELAGO,515 Bedok Reservoir Road  #03-55 ,1,49,Strata,705000,-,14388,1337,27-Sep-18,Condominium,99 Yrs From 01/06/2011,2015,Resale,Private,16,47,479274,East Region,Bedok,Low
368 THOMSON,368 Thomson Road  #19-05 ,1,160,Strata,2680000,-,16750,1556,27-Sep-18,Condominium,Freehold,2014,Resale,Private,11,29,298127,Central Region,Novena,High
8@WOODLEIGH,6 Woodleigh Close  #12-11 ,1,80,Strata,1230000,-,15375,1428,27-Sep-18,Condominium,99 Yrs From 22/09/2008,2012,Resale,Private,13,35,357902,Central Region,Toa Payoh,Mid
RIVERBANK @ FERNVALE,13 Fernvale Close  #07-16 ,1,46,Strata,590000,-,12826,1192,27-Sep-18,Condominium,99 Yrs From 10/07/2013,2017,Resale,Private,28,79,797476,North East Region,Sengkang,Low
THE VISION,81 West Coast Crescent  #28-09 ,1,121,Strata,1830000,-,15124,1405,27-Sep-18,Condominium,99 Yrs From 25/06/2008,2014,Resale,Private,5,12,126794,West Region,Clementi,High
PARK COLONIAL,4 Woodleigh Lane  #09-10 ,1,91,Strata,1624000,-,17846,1658,27-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357686,Central Region,Toa Payoh,Mid
JADESCAPE,8 Shunfu Road  #06-34 ,1,60,Strata,1060000,-,17667,1641,27-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan,Mid
THE TRE VER,62 Potong Pasir Avenue 1  #15-09 ,1,65,Strata,1158000,-,17815,1655,27-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358392,Central Region,Toa Payoh,Mid
THE METROPOLITAN CONDOMINIUM,8 Alexandra View  #28-10 ,1,162,Strata,2590000,-,15988,1485,27-Sep-18,Condominium,99 Yrs From 17/02/2006,2009,Resale,HDB,3,15,158747,Central Region,Bukit Merah,High
AQUARIUS BY THE PARK,17 Bedok Reservoir View  #05-02 ,1,112,Strata,1135600,-,10139,942,27-Sep-18,Condominium,99 Yrs From 12/06/1996,2000,Resale,Private,16,47,478934,East Region,Bedok,Mid
DOUBLE BAY RESIDENCES,19 Simei Street 4  #11-18 ,1,118,Strata,1441000,-,12212,1135,27-Sep-18,Condominium,99 Yrs From 07/04/2008,2012,Resale,Private,18,52,529885,East Region,Tampines,Mid
MELVILLE PARK,18 Simei Street 1  #11-06 ,1,97,Strata,800000,-,8247,766,27-Sep-18,Condominium,99 Yrs From 01/09/1992,1996,Resale,Private,18,52,529943,East Region,Tampines,Low
CASA CAMBIO,9 Lim Tua Tow Road  #05-05 ,1,38,Strata,610000,-,16053,1491,27-Sep-18,Condominium,Freehold,2014,Resale,HDB,19,54,547726,North East Region,Serangoon,Low
8 @ MOUNT SOPHIA,10A Mount Sophia  #03-16 ,1,143,Strata,2080000,-,14545,1351,27-Sep-18,Condominium,103 Yrs From 28/11/2002,2007,Resale,Private,9,22,228462,Central Region,Rochor,High
DAINTREE RESIDENCE,11B Toh Tuck Road  #02-11 ,1,69,Strata,1228350,-,17802,1654,27-Sep-18,Condominium,99 Yrs From 17/07/2017,Uncompleted,New Sale,Private,21,59,596158,Central Region,Bukit Timah,Mid
THE HILLSIDE,341 Upper Bukit Timah Road  #04-01 ,1,97,Strata,1250000,-,12887,1197,26-Sep-18,Condominium,Freehold,2001,Resale,Private,21,58,588195,West Region,Bukit Batok,Mid
SAVANNAH CONDOPARK,53 Simei Rise  #04-47 ,1,135,Strata,1268888,-,9399,873,26-Sep-18,Condominium,99 Yrs From 29/11/2000,2005,Resale,Private,18,52,528790,East Region,Tampines,Mid
MONTVIEW,63 Mount Sinai Drive  #23-03 ,1,317,Strata,3780000,-,11924,1108,26-Sep-18,Condominium,Freehold,2008,Resale,Private,10,27,277116,Central Region,Bukit Timah,High
THE BAYSHORE,26 Bayshore Road  #24-05 ,1,125,Strata,1286000,-,10288,956,26-Sep-18,Condominium,99 Yrs From 31/05/1993,1996,Resale,Private,16,46,469972,East Region,Bedok,Mid
TANGLIN VIEW,152 Prince Charles Crescent  #03-10 ,1,107,Strata,1500000,-,14019,1302,26-Sep-18,Condominium,99 Yrs From 17/05/1997,2001,Resale,Private,3,15,159013,Central Region,Bukit Merah,Mid
CITY SQUARE RESIDENCES,12 Kitchener Link  #27-21 ,1,53,Strata,1018000,-,19208,1784,26-Sep-18,Condominium,Freehold,2008,Resale,Private,8,20,207224,Central Region,Kallang,Mid
JADESCAPE,8 Shunfu Road  #09-28 ,1,94,Strata,1688000,-,17957,1668,26-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan,Mid
JADESCAPE,16 Shunfu Road  #16-61 ,1,107,Strata,1896000,-,17720,1646,26-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan,High
RIVEREDGE,21 Sampan Place  #02-10 ,1,154,Strata,2050000,-,13312,1237,26-Sep-18,Condominium,99 Yrs From 26/02/2004,2008,Resale,Private,15,43,436593,Central Region,Kallang,High
ARCHIPELAGO,507 Bedok Reservoir Road  #04-26 ,1,77,Strata,1088000,-,14130,1313,26-Sep-18,Condominium,99 Yrs From 01/06/2011,2015,Resale,Private,16,47,479270,East Region,Bedok,Mid
EASTPOINT GREEN,3 Simei Street 3  #09-09 ,1,105,Strata,920000,-,8762,814,26-Sep-18,Condominium,99 Yrs From 24/04/1996,1999,Resale,HDB,18,52,529891,East Region,Tampines,Low
HUNDRED TREES,89 West Coast Drive  #03-19 ,1,85,Strata,1220000,-,14353,1333,26-Sep-18,Condominium,956 Yrs From 27/05/1928,2013,Resale,HDB,5,12,128016,West Region,Clementi,Mid
THE TRE VER,68 Potong Pasir Avenue 1  #16-33 ,1,65,Strata,1143000,-,17585,1634,26-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,HDB,13,35,358395,Central Region,Toa Payoh,Mid
D'LEEDON,5 Leedon Heights  #14-10 ,1,150,Strata,2460000,-,16400,1524,26-Sep-18,Condominium,99 Yrs From 08/04/2010,2014,Resale,HDB,10,26,267952,Central Region,Bukit Timah,High
LIVIA,61 Pasir Ris Grove  #05-03 ,1,117,Strata,1085000,-,9274,862,26-Sep-18,Condominium,99 Yrs From 07/01/2008,2011,Resale,Private,18,51,518215,East Region,Pasir Ris,Mid
LEEDON RESIDENCE,24 Leedon Heights  #04-33 ,1,198,Strata,4900000,-,24747,2299,26-Sep-18,Condominium,Freehold,2015,Resale,HDB,10,26,266220,Central Region,Bukit Timah,High
HAIG COURT,152 Haig Road  #13-01 ,1,134,Strata,2020000,-,15075,1400,26-Sep-18,Condominium,Freehold,2004,Resale,Private,15,43,438791,Central Region,Marine Parade,High
CASPIAN,56 Lakeside Drive  #04-32 ,1,43,Strata,650000,-,15116,1404,25-Sep-18,Condominium,99 Yrs From 17/03/2008,2012,Resale,HDB,22,64,648318,West Region,Jurong West,Low
RESIDENCES BOTANIQUE,30 Yio Chu Kang Road  #05-04 ,1,110,Strata,1510000,-,13727,1275,25-Sep-18,Condominium,Freehold,2012,Resale,Private,19,54,545550,North East Region,Hougang,Mid
SIGNATURE PARK,52A Toh Tuck Road  #01-11 ,1,131,Strata,1600000,-,12214,1135,25-Sep-18,Condominium,Freehold,1998,Resale,Private,21,59,596744,Central Region,Bukit Timah,Mid
LAKEVILLE,11 Jurong Lake Link  #11-41 ,1,108,Strata,1750000,-,16204,1505,25-Sep-18,Condominium,99 Yrs From 30/04/2013,2017,Resale,Private,22,64,648155,West Region,Jurong West,Mid
HAZEL PARK CONDOMINIUM,17 Hazel Park Terrace  #03-02 ,1,91,Strata,1150000,-,12637,1174,25-Sep-18,Condominium,999 Yrs From 25/09/1882,2000,Resale,HDB,23,67,678944,West Region,Bukit Panjang,Mid
MONTEBLEU,8 Minbu Road  #17-06 ,1,79,Strata,1428000,-,18076,1679,25-Sep-18,Condominium,Freehold,2010,Resale,Private,11,30,308162,Central Region,Novena,Mid
BOON TECK TOWER,41 Boon Teck Road  #16-02 ,1,154,Strata,1830000,-,11883,1104,25-Sep-18,Condominium,Freehold,1984,Resale,HDB,12,32,329608,Central Region,Novena,High
CITY SQUARE RESIDENCES,12 Kitchener Link  #21-24 ,1,78,Strata,1500000,-,19231,1787,25-Sep-18,Condominium,Freehold,2008,Resale,Private,8,20,207224,Central Region,Kallang,Mid
COUNTRY GRANDEUR,22 Lorong Puntong  #09-04 ,1,134,Strata,1860000,-,13881,1290,25-Sep-18,Condominium,Freehold,1996,Resale,Private,20,57,576439,Central Region,Bishan,High
COASTAL BREEZE RESIDENCES,12 Loyang Besar Close  #04-14 ,1,88,Strata,820000,-,9318,866,25-Sep-18,Condominium,99 Yrs From 08/04/2008,2012,Resale,Private,17,50,509051,East Region,Pasir Ris,Low
DOUBLE BAY RESIDENCES,19D Simei Street 4  #05-33 ,1,127,Strata,1520000,-,11969,1112,25-Sep-18,Condominium,99 Yrs From 07/04/2008,2012,Resale,Private,18,52,528716,East Region,Tampines,Mid
GOLDENHILL PARK CONDOMINIUM,62 Mei Hwan Drive  #02-07 ,1,145,Strata,2250000,-,15517,1442,25-Sep-18,Condominium,Freehold,2004,Resale,Private,20,56,568427,North East Region,Serangoon,High
JADESCAPE,6 Shunfu Road  #12-20 ,1,98,Strata,1746000,-,17816,1655,25-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan,Mid
THE TRE VER,66 Potong Pasir Avenue 1  #08-27 ,1,94,Strata,1578000,-,16787,1560,25-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358394,Central Region,Toa Payoh,Mid
LA FIESTA,64 Sengkang Square  #02-32 ,1,92,Strata,1150000,-,12500,1161,25-Sep-18,Condominium,99 Yrs From 03/09/2012,2016,Resale,HDB,19,54,544702,North East Region,Sengkang,Mid
RIVERSOUND RESIDENCE,3 Sengkang East Avenue  #16-12 ,1,84,Strata,950000,-,11310,1051,25-Sep-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,Private,19,54,544813,North East Region,Sengkang,Low
CANBERRA RESIDENCES,519 Canberra Drive  #05-47 ,1,192,Strata,1420000,-,7396,687,25-Sep-18,Condominium,99 Yrs From 08/09/2010,2013,Resale,HDB,27,76,768133,North Region,Sembawang,Mid
THE CREST,103 Prince Charles Crescent  #22-08 ,1,75,Strata,1699000,-,22653,2105,25-Sep-18,Condominium,99 Yrs From 21/12/2012,2017,Resale,HDB,3,15,159018,Central Region,Bukit Merah,Mid
THE INFLORA,63 Flora Drive  #01-36 ,1,44,Strata,540000,-,12273,1140,25-Sep-18,Condominium,99 Yrs From 25/05/2012,2016,Resale,Private,17,50,506848,East Region,Pasir Ris,Low
ESCADA VIEW,53 Lengkong Empat  #08-02 ,1,108,Strata,1110000,-,10278,955,25-Sep-18,Condominium,Freehold,1997,Resale,Private,14,41,417657,East Region,Bedok,Mid
DAINTREE RESIDENCE,11J Toh Tuck Road  #05-48 ,1,98,Strata,1848700,-,18864,1753,25-Sep-18,Condominium,99 Yrs From 17/07/2017,Uncompleted,New Sale,N.A,21,59,596131,Central Region,Bukit Timah,High
COCO PALMS,13 Pasir Ris Grove  #12-12 ,1,136,Strata,1810000,-,13309,1236,24-Sep-18,Condominium,99 Yrs From 07/01/2008,2018,Sub Sale,HDB,18,51,518141,East Region,Pasir Ris,High
GRANDEUR PARK RESIDENCES,7 Bedok South Avenue 3  #13-31 ,1,62,Strata,1086112,-,17518,1627,24-Sep-18,Condominium,99 Yrs From 25/05/2016,Uncompleted,New Sale,HDB,16,46,465464,East Region,Bedok,Mid
NV RESIDENCES,87 Pasir Ris Grove  #08-13 ,1,69,Strata,758000,-,10986,1021,24-Sep-18,Condominium,99 Yrs From 07/01/2008,2013,Resale,Private,18,51,518213,East Region,Pasir Ris,Low
GRANDEUR 8,2 Ang Mo Kio Central 3  #11-01 ,1,114,Strata,1270000,-,11140,1035,24-Sep-18,Condominium,99 Yrs From 16/07/2002,2005,Resale,HDB,20,56,567741,North East Region,Ang Mo Kio,Mid
SUNNY PALMS,65 Lorong G Telok Kurau  #01-15 ,1,122,Strata,1330000,-,10902,1013,24-Sep-18,Condominium,Freehold,2004,Resale,Private,15,42,426323,East Region,Bedok,Mid
THE TRE VER,64 Potong Pasir Avenue 1  #04-17 ,1,65,Strata,1071000,-,16477,1531,24-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358393,Central Region,Toa Payoh,Mid
THE TESSARINA,20 Wilby Road  #04-04 ,1,122,Strata,2100800,-,17220,1600,24-Sep-18,Condominium,Freehold,2003,Resale,Private,10,27,276305,Central Region,Bukit Timah,High
HIGHLINE RESIDENCES,7 Kim Tian Road  #06-09 ,1,47,Strata,1113200,-,23685,2200,24-Sep-18,Condominium,99 Yrs From 22/07/2013,2018,Sub Sale,HDB,3,16,168592,Central Region,Bukit Merah,Mid
YISHUN EMERALD,22 Canberra Drive  #01-07 ,1,107,Strata,750000,-,7009,651,24-Sep-18,Condominium,99 Yrs From 16/02/1998,2002,Resale,HDB,27,76,768426,North Region,Yishun,Low
MARTIN MODERN,8 Martin Place  #24-01 ,1,167,Strata,5565000,-,33323,3096,24-Sep-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237992,Central Region,River Valley,High
CHANGI GREEN,716 Upper Changi Road East  #04-04 ,1,98,Strata,1020000,-,10408,967,24-Sep-18,Condominium,Freehold,1998,Resale,HDB,16,48,486847,East Region,Tampines,Mid
PARC VERA,2 Hougang Street 32  #03-06 ,1,73,Strata,800000,-,10959,1018,24-Sep-18,Condominium,99 Yrs From 20/12/2010,2014,Resale,HDB,19,53,534041,North East Region,Hougang,Low
CYAN,8 Keng Chin Road  #14-11 ,1,142,Strata,3380000,-,23803,2211,24-Sep-18,Condominium,Freehold,2014,Resale,Private,10,25,258710,Central Region,Tanglin,High
PALM GARDENS,2C Hong San Walk  #02-04 ,1,113,Strata,870000,-,7699,715,24-Sep-18,Condominium,99 Yrs From 12/08/1996,2000,Resale,Private,23,68,689049,West Region,Choa Chu Kang,Low
HILLVIEW REGENCY,28 Bukit Batok East Avenue 2  #21-23 ,1,111,Strata,1125000,-,10135,942,24-Sep-18,Condominium,99 Yrs From 20/06/2000,2006,Resale,Private,23,65,659921,West Region,Bukit Batok,Mid
THE VISION,81 West Coast Crescent  #04-06 ,1,121,Strata,1450000,-,11983,1113,24-Sep-18,Condominium,99 Yrs From 25/06/2008,2014,Resale,HDB,5,12,126794,West Region,Clementi,Mid
PARK COLONIAL,4 Woodleigh Lane  #07-11 ,1,91,Strata,1817000,-,19967,1855,24-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,HDB,13,35,357686,Central Region,Toa Payoh,High
SIMS URBAN OASIS,8 Sims Drive  #09-26 ,1,161,Strata,2470000,-,15342,1425,24-Sep-18,Condominium,99 Yrs From 29/07/2014,2017,New Sale,HDB,14,38,387389,Central Region,Geylang,High
JADESCAPE,4 Shunfu Road  #16-16 ,1,84,Strata,1555000,-,18512,1720,24-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan,Mid
RIVERSOUND RESIDENCE,7 Sengkang East Avenue  #11-20 ,1,88,Strata,984000,-,11182,1039,24-Sep-18,Condominium,99 Yrs From 26/08/2011,2015,Resale,HDB,19,54,544741,North East Region,Sengkang,Low
BLUE HORIZON,27 West Coast Crescent  #18-19 ,1,107,Strata,1200000,-,11215,1042,24-Sep-18,Condominium,99 Yrs From 14/08/2000,2005,Resale,HDB,5,12,128048,West Region,Clementi,Mid
THE INTERLACE,220 Depot Road  #16-76 ,1,174,Strata,2480000,-,14253,1324,24-Sep-18,Condominium,99 Yrs From 11/02/2009,2013,Resale,Private,4,10,109704,Central Region,Bukit Merah,High
MARTIN MODERN,10 Martin Place  #13-10 ,1,71,Strata,2000600,-,28177,2618,24-Sep-18,Condominium,99 Yrs From 28/09/2016,Uncompleted,New Sale,Private,9,23,237963,Central Region,River Valley,High
PARK COLONIAL,12 Woodleigh Lane  #13-54 ,1,91,Strata,1652000,-,18154,1687,23-Sep-18,Condominium,99 Yrs From 11/10/2017,Uncompleted,New Sale,N.A,13,35,357658,Central Region,Toa Payoh,Mid
JADESCAPE,10 Shunfu Road  #10-40 ,1,195,Strata,3278280,-,16812,1562,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575746,Central Region,Bishan,High
JADESCAPE,8 Shunfu Road  #03-30 ,1,71,Strata,1247000,-,17563,1632,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan,Mid
JADESCAPE,8 Shunfu Road  #05-27 ,1,60,Strata,1055000,-,17583,1634,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan,Mid
JADESCAPE,8 Shunfu Road  #08-28 ,1,94,Strata,1682000,-,17894,1662,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan,Mid
THE TAPESTRY,51 Tampines Street 86  #06-07 ,1,41,Strata,636000,-,15512,1441,23-Sep-18,Condominium,99 Yrs From 31/07/2017,Uncompleted,New Sale,Private,18,52,528539,East Region,Tampines,Low
JADESCAPE,6 Shunfu Road  #11-23 ,1,71,Strata,1287000,-,18127,1684,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575744,Central Region,Bishan,Mid
JADESCAPE,16 Shunfu Road  #17-62 ,1,71,Strata,1317000,-,18549,1723,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan,Mid
JADESCAPE,16 Shunfu Road  #09-62 ,1,71,Strata,1277000,-,17986,1671,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan,Mid
JADESCAPE,2 Shunfu Road  #10-02 ,1,72,Strata,1318000,-,18306,1701,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,8 Shunfu Road  #08-34 ,1,60,Strata,1070000,-,17833,1657,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575745,Central Region,Bishan,Mid
JADESCAPE,2 Shunfu Road  #19-02 ,1,72,Strata,1363000,-,18931,1759,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Mid
THE TRE VER,64 Potong Pasir Avenue 1  #10-18 ,1,103,Strata,1740000,-,16893,1569,23-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,N.A,13,35,358393,Central Region,Toa Payoh,Mid
THE TRE VER,68 Potong Pasir Avenue 1  #12-34 ,1,69,Strata,1196000,-,17333,1610,23-Sep-18,Condominium,99 Yrs From 27/03/2018,Uncompleted,New Sale,Private,13,35,358395,Central Region,Toa Payoh,Mid
JADESCAPE,2 Shunfu Road  #19-03 ,1,72,Strata,1314000,-,18250,1695,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,8 Shunfu Road  #02-27 ,1,60,Strata,989000,-,16483,1531,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575745,Central Region,Bishan,Low
JADESCAPE,16 Shunfu Road  #09-56 ,1,84,Strata,1507000,-,17940,1667,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575749,Central Region,Bishan,Mid
JADESCAPE,2 Shunfu Road  #03-03 ,1,72,Strata,1217000,-,16903,1570,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,2 Shunfu Road  #10-03 ,1,72,Strata,1264000,-,17556,1631,23-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,12 Shunfu Road  #18-46 ,1,195,Strata,3253000,-,16682,1550,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575747,Central Region,Bishan,High
JADESCAPE,2 Shunfu Road  #22-02 ,1,72,Strata,1378000,-,19139,1778,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,Private,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,4 Shunfu Road  #09-13 ,1,49,Strata,889000,-,18143,1686,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan,Low
JADESCAPE,2 Shunfu Road  #11-03 ,1,72,Strata,1269000,-,17625,1637,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,2 Shunfu Road  #22-03 ,1,72,Strata,1329000,-,18458,1715,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575742,Central Region,Bishan,Mid
JADESCAPE,4 Shunfu Road  #03-16 ,1,84,Strata,1399000,-,16655,1547,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,HDB,20,57,575743,Central Region,Bishan,Mid
JADESCAPE,4 Shunfu Road  #08-12 ,1,94,Strata,1620000,-,17234,1601,22-Sep-18,Condominium,99 Yrs From 19/06/2018,Uncompleted,New Sale,N.A,20,57,575743,Central Region,Bishan,Mid
